EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label,KaggleSet,KaggleWeight
900000,102.568,38.72,72.343,24.334,-999.0,-999.0,-999.0,2.622,24.334,74.147,0.925,-1.372,-999.0,38.526,-2.412,0.124,35.621,-2.105,-2.479,38.152,2.698,138.371,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.27542250199,b,u,57.1397071308
900002,128.813,39.015,92.028,44.934,-999.0,-999.0,-999.0,2.334,21.339,139.705,0.982,-1.041,-999.0,50.178,-0.142,1.198,49.283,0.101,-2.763,45.242,-1.912,234.293,1,40.244,-1.744,0.814,-999.0,-999.0,-999.0,40.244,0.553919054786,b,u,24.8159119941
900003,-999.0,110.201,95.62,4.963,-999.0,-999.0,-999.0,2.25,4.963,105.284,1.674,-1.362,-999.0,39.372,2.313,-0.516,65.913,1.681,1.643,50.441,-2.097,210.001,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.66127165819,b,u,29.6253741987
900004,122.701,12.261,84.121,18.224,-999.0,-999.0,-999.0,2.957,58.616,133.536,0.994,-1.298,-999.0,39.744,0.053,1.097,39.49,0.8,-1.763,18.604,-2.22,263.09,1,54.302,-1.082,-0.115,-999.0,-999.0,-999.0,54.302,0.583398787112,b,u,26.1366220088
900006,27.857,26.199,20.314,107.698,0.123,108.739,0.798,0.469,1.59,245.698,2.66,0.155,0.0,26.323,-0.304,-1.33,70.016,-0.676,-1.615,17.221,-2.389,247.953,2,80.695,0.834,2.189,68.663,0.957,0.621,149.359,0.226870077356,b,u,10.1639180402
900007,112.359,116.999,76.061,77.04,-999.0,-999.0,-999.0,2.321,43.584,136.988,2.677,1.111,-999.0,24.478,1.065,3.027,65.522,0.478,0.781,67.646,2.927,306.491,1,46.988,1.493,-1.496,-999.0,-999.0,-999.0,46.988,0.325967648342,b,u,14.6035497502
900009,164.068,94.649,142.41,44.63,-999.0,-999.0,-999.0,2.924,3.001,133.921,2.84,-0.94,-999.0,22.523,-2.254,-0.827,63.964,0.446,0.297,35.039,-2.79,128.842,1,47.434,2.055,2.895,-999.0,-999.0,-999.0,47.434,0.981521405222,b,u,43.9727584777
900010,99.797,28.444,71.307,3.591,-999.0,-999.0,-999.0,2.709,3.591,74.585,0.627,-1.394,-999.0,45.854,2.182,-1.334,28.731,1.959,2.25,24.005,1.105,125.564,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.512739889611,b,u,22.9710602416
900011,83.892,31.153,58.078,122.347,4.006,497.298,-2.665,1.345,52.004,280.701,0.314,1.156,0.801,83.159,2.054,-2.174,26.118,2.103,2.766,29.904,-2.335,376.41,2,140.533,-0.842,0.35,30.891,3.163,-2.533,171.424,0.0944595938766,b,u,4.2318475026
900013,135.807,63.955,109.076,6.18,-999.0,-999.0,-999.0,3.566,6.18,56.524,1.703,-1.338,-999.0,20.909,-1.684,0.807,35.616,0.989,-3.115,30.49,-0.462,137.432,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.01115720346,b,u,90.1010711513
