EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label,KaggleSet,KaggleWeight
900001,113.1,37.871,74.299,149.209,5.011,1037.734,-6.113,1.429,3.246,298.804,1.375,1.409,0.523,47.572,-1.184,2.175,65.405,-1.61,-2.744,60.824,2.929,267.562,2,131.064,2.911,-0.545,54.762,-2.1,0.929,185.827,0.000461281573949,s,u,0.0209561399517
900005,120.627,24.33,75.736,57.884,-999.0,-999.0,-999.0,2.994,3.185,123.015,1.553,1.387,-999.0,24.956,-1.189,1.336,38.762,0.17,-1.332,37.813,-0.685,192.981,1,59.296,0.428,2.392,-999.0,-999.0,-999.0,59.296,0.00572068250088,s,u,0.259892070003
900008,133.49,39.896,83.78,89.132,-999.0,-999.0,-999.0,2.14,0.937,184.306,0.568,1.405,-999.0,61.159,0.457,-1.589,34.71,-0.151,2.642,35.146,-2.425,188.065,1,88.437,-1.935,0.854,-999.0,-999.0,-999.0,88.437,0.000461281573949,s,u,0.0209561399517
900012,116.499,0.265,46.663,248.898,4.504,959.57,-5.05,1.099,6.934,338.057,1.089,0.977,0.73,38.757,0.029,-2.5,42.192,1.12,-2.366,168.254,-2.363,414.129,2,207.258,2.107,0.927,49.85,-2.397,0.07,257.108,0.000461281573949,s,u,0.0209561399517
900014,151.123,3.474,95.291,72.163,-999.0,-999.0,-999.0,2.365,1.692,196.153,0.293,1.161,-999.0,94.933,1.506,1.023,27.853,1.409,-1.34,21.196,-1.197,196.403,1,73.367,-2.474,-2.632,-999.0,-999.0,-999.0,73.367,0.000461281573949,s,u,0.0209561399517
900015,137.853,14.742,95.575,6.0,-999.0,-999.0,-999.0,3.477,6.0,66.819,0.727,-1.411,-999.0,38.701,-1.884,2.717,28.119,-0.048,-0.614,7.783,0.429,124.569,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900017,137.18,52.958,90.028,29.514,-999.0,-999.0,-999.0,2.91,29.514,79.716,0.993,1.154,-999.0,39.99,1.784,0.3,39.726,0.701,3.001,18.934,0.386,117.209,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900020,121.353,37.243,84.564,53.274,-999.0,-999.0,-999.0,2.465,15.836,125.979,0.683,1.278,-999.0,48.803,1.829,-3.023,33.341,0.8,-0.783,15.78,-2.678,178.319,1,43.836,0.562,0.487,-999.0,-999.0,-999.0,43.836,0.00572068250088,s,u,0.259892070003
900026,93.851,17.389,65.636,18.554,-999.0,-999.0,-999.0,2.892,18.716,102.434,1.166,1.412,-999.0,30.088,-1.751,-1.819,35.087,-1.359,1.046,8.352,-0.019,175.423,1,37.26,-2.99,-3.062,-999.0,-999.0,-999.0,37.26,0.00572068250088,s,u,0.259892070003
900027,113.815,20.418,84.442,2.112,-999.0,-999.0,-999.0,3.103,2.112,80.998,0.956,-1.414,-999.0,41.406,0.327,-1.622,39.592,-0.262,1.425,5.256,2.997,129.685,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900031,117.722,26.745,84.604,41.395,-999.0,-999.0,-999.0,2.456,11.853,112.55,0.88,1.318,-999.0,43.9,-1.091,-1.253,38.648,-0.163,2.755,7.336,-1.693,168.514,1,30.002,1.071,1.075,-999.0,-999.0,-999.0,30.002,0.000461281573949,s,u,0.0209561399517
900032,87.817,21.998,60.802,55.795,-999.0,-999.0,-999.0,2.031,6.884,119.388,0.899,1.414,-999.0,36.898,1.1,0.556,33.161,1.582,2.529,17.09,1.568,163.729,1,49.329,1.826,-1.602,-999.0,-999.0,-999.0,49.329,0.000461281573949,s,u,0.0209561399517
